FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,Annual,BRA,Brazil,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,39.03270229,39.34517233,39.65808999,39.97145529,40.2852682,40.59952875,40.91423692,41.22939271,41.54499613,41.86104718,42.17754585,42.49449214,43.36075687,44.24426671,45.14505931,46.06317235,46.99864347,47.95151032,48.92181056,49.90958186,50.6743835
A,Annual,BRA,Brazil,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,35.74204341,36.16762407,36.58589826,37.00214532,37.41623629,37.82821516,38.23827901,38.64646748,39.0528122,39.4570433,39.85950934,40.26155659,41.15432283,42.06269659,42.98721103,43.92766119,44.88398291,45.85641823,46.84473257,47.8493132,48.706315
A,Annual,BTN,Bhutan,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),RUR,Rural area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,56.20277947,56.20277947,56.90990674,57.61703402,58.32416129,59.03128857,59.73841584,60.44554312,61.15267039,61.64618935,62.11652932,62.58603746,63.05471376,63.52255824,63.98957089,64.4557517,64.92110069,65.38561785,65.84930318,66.31215668,66.77417835
A,Annual,BTN,Bhutan,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,79.50784452,79.50784452,78.52018413,77.53252373,76.54486334,75.55720295,74.56954256,73.58188217,72.59422177,70.86836966,69.13550618,67.39563134,65.64874512,63.89484754,62.13393859,60.36601828,59.81417047,60.63008008,61.44860324,62.26973993,63.09349017
A,Annual,BTN,Bhutan,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,62.12646111,62.37396261,62.86786039,63.3303878,63.76030628,64.14853948,64.44166271,64.71078133,64.95538449,64.78265275,64.55864346,64.29753151,63.99818885,63.66085999,63.28595222,62.87392457,62.90754042,63.47546086,64.04963687,64.63002626,65.2166584
A,Annual,CAF,Central African Republic,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),RUR,Rural area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,9.322319406,9.320484162,9.318648919,9.316655104,9.314355005,9.101274155,8.888297431,8.675424834,8.462656363,8.249992019,8.037431801,7.824975711,7.612623746,7.400375909,7.188232198,6.976192614,6.764257156,6.552425825,6.340698621,6.129075543,5.917556592
A,Annual,CAF,Central African Republic,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,36.82979709,36.65428164,36.4787662,36.30325075,36.12773531,35.33976487,34.55689506,33.77912587,33.0064573,32.23888936,31.47642203,30.71905533,29.96678925,29.2196238,28.47755896,27.74059475,27.00873116,26.2819682,25.56030585,24.84374413,24.13228303
A,Annual,CAF,Central African Republic,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,19.6758589,19.63079212,19.5857164,19.54025698,19.49432394,19.09000526,18.69190459,18.29993339,17.91349252,17.53225618,17.15613616,16.78457431,16.41748307,16.0545444,15.6952343,15.33947083,14.98715727,14.63759225,14.29069706,13.94619233,13.60380656
A,Annual,CAN,Canada,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),RUR,Rural area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,77.36184551,77.36184551,77.36184551,77.80434843,78.24685136,78.66348538,79.05348712,79.44262314,79.83089051,80.2182863,80.60480756,80.99045138,81.3752148,81.7590949,82.14208876,82.52419342,82.90540597,83.28572346,83.69421783,84.10229814,84.10229814
A,Annual,CAN,Canada,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,77.62994142,77.62994142,77.62994142,78.08500389,78.54006635,78.94090697,79.33673547,79.73187612,80.12633012,80.52009865,80.91318292,81.30558411,81.69730343,82.08834207,82.47870121,82.86838207,83.25738583,83.64571368,84.03748473,84.42854698,84.42854698
A,Annual,CAN,Canada,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,77.57492526,77.5758104,77.57602197,78.02877775,78.48155771,78.8857635,79.28068911,79.67517216,80.06894984,80.46202275,80.85439848,81.24600912,81.636549,82.02636889,82.41547978,82.80387768,83.1915656,83.5785755,83.97367373,84.36813002,84.36839322
